layers,num_layers,total_neurons,learning_rate,batch_size,epochs,test_accuracy,test_loss,train_accuracy,val_accuracy,training_time
"[128, 64]",2,192,0.01,32,10,0.9625999927520752,0.2535339593887329,0.9769499897956848,0.9625999927520752,40.66624426841736
"[128, 64]",2,192,0.01,32,20,0.9672999978065491,0.408245325088501,0.9834666848182678,0.9672999978065491,80.75736570358276
"[128, 64]",2,192,0.01,64,10,0.9684000015258789,0.1872483342885971,0.9827333092689514,0.9684000015258789,23.601121187210083
"[128, 64]",2,192,0.01,64,20,0.9693999886512756,0.3252306282520294,0.9888166785240173,0.9693999886512756,45.926883697509766
"[128, 64]",2,192,0.01,128,10,0.9706000089645386,0.1603257954120636,0.9858333468437195,0.9706000089645386,14.67143988609314
"[128, 64]",2,192,0.01,128,20,0.9728000164031982,0.2720738351345062,0.9903666377067566,0.9728000164031982,28.187281847000122
"[128, 64]",2,192,0.1,32,10,0.516700029373169,1.5966986417770386,0.5922499895095825,0.516700029373169,39.995421171188354
"[128, 64]",2,192,0.1,32,20,0.5088000297546387,1.684988260269165,0.529533326625824,0.5088000297546387,79.2221531867981
"[128, 64]",2,192,0.1,64,10,0.657800018787384,1.1981743574142456,0.6473833322525024,0.657800018787384,23.76977252960205
"[128, 64]",2,192,0.1,64,20,0.7577999830245972,1.1478536128997803,0.7448333501815796,0.7577999830245972,46.738603830337524
"[128, 64]",2,192,0.1,128,10,0.843999981880188,0.7910614013671875,0.8293833136558533,0.843999981880188,14.702355861663818
"[128, 64]",2,192,0.1,128,20,0.7947999835014343,0.9870947003364563,0.833466649055481,0.7947999835014343,27.968570470809937
"[256, 128]",2,384,0.001,32,10,0.9786999821662903,0.08438999950885773,0.9966333508491516,0.9786999821662903,52.82810187339783
"[256, 128]",2,384,0.001,32,20,0.979200005531311,0.11458970606327057,0.9987499713897705,0.979200005531311,106.67996525764465
"[256, 128]",2,384,0.001,64,10,0.9797999858856201,0.0707220658659935,0.9971166849136353,0.9797999858856201,31.138409852981567
